Video name 	date	Time 	Duration 
DJI_0031.MP4	7/20/2022	5:01:58	00:00:24
DJI_0032.MP4	7/20/2022	5:02:32	00:00:16
DJI_0033.MP4	7/20/2022	5:03:04	00:00:18
DJI_0034.MP4	7/20/2022	5:03:34	00:00:16
DJI_0035.MP4	7/20/2022	5:04:06	00:00:19
DJI_0036.MP4	7/20/2022	5:04:30	00:00:16
DJI_0037.MP4	7/20/2022	5:05:30	00:00:23
DJI_0038.MP4	7/20/2022	5:05:48	00:00:15
DJI_0039.MP4	7/20/2022	5:06:12	00:00:14
DJI_0040.MP4	7/20/2022	5:07:02	00:00:16
DJI_0041.MP4	7/20/2022	5:07:34	00:00:15
DJI_0042.MP4	7/20/2022	5:08:38	00:00:26
DJI_0043.MP4	7/20/2022	5:09:00	00:00:16
DJI_0044.MP4	7/20/2022	5:09:36	00:00:17
DJI_0045.MP4	7/20/2022	5:10:08	00:00:21
DJI_0046.MP4	7/20/2022	5:11:02	00:00:16
DJI_0047.MP4	7/20/2022	5:11:34	00:00:20
DJI_0048.MP4	7/20/2022	5:12:12	00:00:21
DJI_0049.MP4	7/20/2022	5:12:52	00:00:22
DJI_0050.MP4	7/20/2022	5:13:24	00:00:26
DJI_0051.MP4	7/20/2022	5:13:50	00:00:21
DJI_0052.MP4	7/20/2022	5:14:28	00:00:21